system;sector;region;grid
Di'tai'ni;Bothan;Mid Rim;R-14
Dominus;Lothal (Dominus);Outer Rim Territories;U-7
Di'wor;Morshdine;Outer Rim Territories;O-4
Don I;Tapani;Colonies;L-13
Diab;;Wild Space;J-6
Don II;Tapani;Colonies;L-13
Diado;Lifh;Mid Rim;R-8
Dona Laza;Dona Laza;Expansion Region;P-9
Diamal;;Core Worlds;L-13
Donadus;Bamula;Inner Rim;J-13
Dianth;;Wild Space;T-5
Doneer'so;Fakir;Colonies;K-9
Diatia Major;;Core Worlds;L-12
Doniphon;Kwymar;Outer Rim Territories;P-4
Dibrook;Albarrio;Outer Rim Territories;K-5
Dononter Minor;Dononter;Mid Rim;I-16
Dica;Tolemses;Expansion Region;P-11
Donovia;Hali;Expansion Region;O-9
Dontamo;Dantus;Outer Rim Territories;J-6
Dreighton;Dantus;Outer Rim Territories;J-6
Dooma;Dentari;Expansion Region;O-7
Dreighton Nebula;Dantus;Outer Rim Territories;J-6
Doornik-1142;Farlax;Core Worlds;K-10
Dreivus;Oeiros;Expansion Region;P-10
Doornik-207;Farlax;Core Worlds;K-10
Dreizan;;Core Worlds;M-12
Dor Nameth;Bright Jewel;Mid Rim;L-7
Dremulae;;Deep Core;M-10
Dorajan;Lannik Space;Mid Rim;Q-12
Dresscol;Trax;Mid Rim;Q-10
Dorande;Quiberon;Outer Rim Territories;T-15
Dressel;Noolian;Mid Rim;Q-13
Dorax;;Core Worlds;L-9
Dressia;;Colonies;L-8
Dorcin;Minos Cluster;Outer Rim Territories;M-20
Dreve;;Inner Rim;N-7
Dordolum;;Colonies;K-13
Drexel;Lol;Outer Rim Territories;Q-18
Doreen;Senex;Mid Rim;L-18
Drexel Minor;Khuiumin;Outer Rim Territories;O-19
Dorella;Tapani;Colonies;L-13
Drez;Corva;Outer Rim Territories;P-4
Dorellia;Tapani;Colonies;L-13
Drezzi;Esstran (Sith Worlds);Outer Rim Territories;Q-5
Dorenia;Mayagil;Outer Rim Territories;M-18
Drgi;Tokamac;Expansion Region;O-13
Dorin;Deadalis;Expansion Region;J-8
Drift, The;Elrood;Outer Rim Territories;M-20
Doris;Tapani;Colonies;L-13
Drilbia;Brema;Outer Rim Territories;M-17
Dorlo;Atravis;Outer Rim Territories;L-19
Droecil;Boeus;Expansion Region;M-15
Dorlon;;Colonies;M-9
Drog;Corporate Sector;Outer Rim Territories;R-4
Dornea;Lothal;Outer Rim Territories;U-7
Drogheda;Teraab;Mid Rim;Q-11
Dorriella;Wazta;Outer Rim Territories;I-17
Dromondar Beta;;Unknown Regions;H-7
Dorsis;Corellian;Core Worlds;M-11
Drompani;Prefsbelt;Outer Rim Territories;J-6
Dorvalla;Videnda;Outer Rim Territories;M-18
Dromund Kaas;Esstran (Sith Worlds);Outer Rim Territories;R-5
Doshan;Drannik;Expansion Region;K-8
Drong;Steniplis;Outer Rim Territories;L-18
Dosuun;;Wild Space;H-20
Drongar;;Outer Rim Territories;T-5
Dotharian;;Hutt Space;S-12
Dronseen;Thrasybule;Outer Rim Territories;P-6
Dothnia;Hunnoverrs;Outer Rim Territories;S-17
Drophun;;Colonies;L-13
Douglas;Centrality;Outer Rim Territories;U-8
Droxine;Esstran;Outer Rim Territories;Q-5
Dowut;;Core Worlds;J-12
Droxu;Bheriz;Outer Rim Territories;T-11
Doxxen;Seitia;Outer Rim Territories;K-19
Drualkiin;Kessel;Outer Rim Territories;T-10
Dozoisia;Sevetta;Outer Rim Territories;S-15
Druckenwell;Doldur;Mid Rim;P-15
Dra;Wyl;Outer Rim Territories;R-4
Drunost;Shelsha;Colonies;M-9
Draay;Pelgrin;Outer Rim Territories;R-18
Drup's Star;Saijo;Outer Rim Territories;J-20
Draboon;Mandalore;Outer Rim Territories;O-7
Drurish;Kuat;Core Worlds;M-10
Drackmar;Quelii;Outer Rim Territories;O-6
Druulgotha;Thesme;Outer Rim Territories;O-6
Dractu;Lannik Space;Mid Rim;Q-13
Dryorkeen Cluster;Parmic;Outer Rim Territories;P-18
Drada;Halthor;Outer Rim Territories;L-6
Du Hutta;;Hutt Space;S-11
Draflago;Sertar;Outer Rim Territories;R-5
Du Mai;Bryx;Mid Rim;R-8
Dragon Void;Gomar;Inner Rim;K-14
Dubloviann;;Inner Rim;M-8
Dragonflower Nebula;Doldur;Mid Rim;P-15
Dubraib;Cegul;Outer Rim Territories;M-20
Dragos;Boeus;Expansion Region;M-15
Dubrava;Albanin;Outer Rim Territories;T-13
Drahgor;Colundra;Outer Rim Territories;S-4
Dubrillion;Myto;Outer Rim Territories;K-3
Draik;Alui;Mid Rim;O-17
Dubrovia;Aldino;Mid Rim;J-17
Dramassia;Juvex;Mid Rim;L-18
Duhma;Kallea;Outer Rim Territories;K-20
Drannik;Drannik;Expansion Region;K-8
Duinarbulon;Cronese Mandate;Outer Rim Territories;S-6
Draria;Lostar;Expansion Region;M-7
Dulathia;Lantillian;Mid Rim;P-8
Drash-So;Yminis;Outer Rim Territories;S-14
Dulin;;Inner Rim;K-14
Drashima;Majoor;Expansion Region;N-15
Dulvoyinn;;Deep Core;K-12
Draukyze;Thanium;Outer Rim Territories;R-6
Dunari's Rest;Mayagil;Outer Rim Territories;N-18
Dravian Starport;Tamarin;Outer Rim Territories;N-18
Duneeden;Corusca;Core Worlds;K-9
Dravin;Subterrel;Outer Rim Territories;L-20
Dunnak;;Inner Rim;N-8
Dravione;Allied Tion;Outer Rim Territories;S-6
Dur Sabon;Morshdine;Outer Rim Territories;O-5
Drayberia;Sertar;Outer Rim Territories;R-5
Dura-Kahn;Bes Ber Bikade;Expansion Region;L-15
Drazkel;Oriolan;Mid Rim;J-16
Durace;;Unknown Regions;H-6
Drearia;;Inner Rim;L-8
Duran;;Core Worlds;K-9
Dreena;Hapes Cluster;Inner Rim;O-9
Durga;Marzoon;Mid Rim;I-16
Dreffon;;Colonies;J-9
Durgen's Star;Gordian Reach;Outer Rim Territories;P-6
Durgeon;Galov;Outer Rim Territories;T-13
Elbara;Elbaran;Mid Rim;J-17
Durkteel;Kastolar;Mid Rim;Q-10
Elbra;Airam;Outer Rim Territories;M-20
Duro;Duro;Core Worlds;M-11
Elcorth;Farlax;Core Worlds;K-10
Durollia;Kalamith;Outer Rim Territories;P-5
Elegasso;Irishi;Mid Rim;K-6
Duron;Semagi;Mid Rim;I-16
Elerion;Thanium;Outer Rim Territories;R-6
Duroon;Corporate Sector;Outer Rim Territories;S-4
Elessia;Vendusii;Mid Rim;P-16
Durren;Meridian;Outer Rim Territories;R-7
Elgamor;Maldrood;Mid Rim;R-7
Dustig;Dustig;Mid Rim;N-16
Elgit;;Hutt Space;T-10
Dutar;;Core Worlds;L-10
Eliad;Minos Cluster;Outer Rim Territories;M-20
Duunir;Kibilini;Outer Rim Territories;Q-17
Elien;;Inner Rim;J-14
Duzay;Alui;Mid Rim;O-17
Elin Roe;;Colonies;N-12
Dwartii;Nouane;Inner Rim;N-8
Elkeenar;;Wild Space;K-21
Dweem;Calaron;Outer Rim Territories;T-9
Elkkasinn;Phelleem;Outer Rim Territories;S-7
Dwor;Steniplis;Outer Rim Territories;L-19
Elliirad;Airam;Outer Rim Territories;L-20
Dybbron;Nythlide;Inner Rim;L-15
Elom;Sertar;Outer Rim Territories;R-5
Dybrin;;Deep Core;L-12
Elphrona;Bri'ahl;Outer Rim Territories;I-17
Dyspeth;Varada;Outer Rim Territories;I-20
Elriss;Onatos;Mid Rim;R-15
Dytrew;Haserian;Mid Rim;Q-15
Elrood;Elrood;Outer Rim Territories;M-20
Dzass;Seswenna;Outer Rim Territories;M-17
Elshandruu Pica;Quence;Outer Rim Territories;O-18
Eadu;Bheriz;Outer Rim Territories;U-10
Embaril;Allied Tion;Outer Rim Territories;S-6
Ealor;Parmic;Outer Rim Territories;P-18
Emberlene;Authala;Expansion Region;P-12
Eamus;;Core Worlds;L-13
Emmer;Nilgaard;Outer Rim Territories;S-5
Ebaq;;Deep Core;M-11
Emoh;Ploo;Expansion Region;N-7
Ebenmal;Irnaj;Mid Rim;K-17
Emorus;;Inner Rim;O-10
Eberon;Mytaranor;Mid Rim;P-9
Empartheca;Hook Nebula;Outer Rim Territories;O-18
Ebiwaan;Sarin;Outer Rim Territories;P-18
Empress Teta;Koros;Deep Core;L-10
Ebra;Kesh;Mid Rim;L-6
Emurria;;Colonies;L-9
Ec Pand;Ado;Mid Rim;M-17
Ena;Steniplis;Outer Rim Territories;L-19
Echerta;Koradin;Outer Rim Territories;J-18
Enaleh;;Colonies;L-13
Echnos;Hadar;Mid Rim;L-17
Enarc;Alui;Mid Rim;O-17
Eckless;;Wild Space;J-3
Encrust;Jubilar;Outer Rim Territories;T-7
Eczar;Seswenna;Outer Rim Territories;M-18
Endex;Velcar;Outer Rim Territories;J-5
Edan;Hythrope;Expansion Region;M-15
Endor;Zuma (Moddell);Outer Rim Territories;H-16
Edatha;Vatha;Expansion Region;K-16
Endor Gate;Zuma (Moddell);Outer Rim Territories;H-16
Ediorung;Hapes Cluster;Inner Rim;O-9
Endoraan;Clacis;Outer Rim Territories;K-4
Edis;Farana*;Wild Space;S-3
Endovan;Sarka;Mid Rim;Q-8
Edonaaris;Thrasybule;Outer Rim Territories;P-6
Endovar;(Terrabe);Mid Rim;H-10
Edusa;Morshdine;Outer Rim Territories;O-5
Endoviara;Dantus;Outer Rim Territories;J-6
Eedoq;Tantra (Methall'has);Outer Rim Territories;M-19
Endregaad;Indrexu;Outer Rim Territories;S-5
Eeyyon;Halm;Mid Rim;J-16
Endrias Minor;Tammuz;Outer Rim Territories;T-14
Egaria;Svivreni;Outer Rim Territories;O-19
Endrolia;;Core Worlds;K-10
Egips;Tharin (Periphery);Outer Rim Territories;S-8
Endymion;Kalamith;Outer Rim Territories;P-5
Ehjenla;Kathol;Outer Rim Territories;M-21
Enet;Brak;Expansion Region;O-14
Eiattu;Ado;Mid Rim;L-17
Enferm;Mezeg;Mid Rim;M-7
Eibon;Cronese Mandate;Outer Rim Territories;S-6
Engebo;Danjar;Outer Rim Territories;N-18
Eidoloni;Eidoloni;Mid Rim;M-16
Engira;Jospro;Outer Rim Territories;R-7
Eilnia;;Inner Rim;N-9
Enisca;;Colonies;M-13
Eiloroseint;Tokamac;Expansion Region;N-13
Ennth;Astal;Outer Rim Territories;Q-18
Eiram;Tunka (Dalnan);Outer Rim Territories;I-19
Enoth;Calamari;Outer Rim Territories;U-6
Eirrauus;Quence;Outer Rim Territories;P-18
Enrivi;Metatessu;Mid Rim;R-9
Eislo;Eislomi;Inner Rim;O-8
Enselon;;Core Worlds;L-12
Ejolus;;Inner Rim;M-8
Ensolica;;Core Worlds;K-10
Ekibo;Trianii Space*;Wild Space;R-3
Entana;Cademimu;Outer Rim Territories;L-6
Ekuda;Cademimu;Outer Rim Territories;L-6
Enthenium;Jjannex;Outer Rim Territories;K-19
Elamposnia;Gordian Reach;Outer Rim Territories;Q-5
Enthi;Manda;Mid Rim;R-14
Elatha;Stensen;Outer Rim Territories;I-17
Entiia;Maldrood;Mid Rim;R-7
Entooine;Danjar;Outer Rim Territories;N-18
Ession;Corporate Sector;Outer Rim Territories;S-4
Entralla;Velcar;Outer Rim Territories;K-4
Essowyn;Trax;Mid Rim;Q-10
Entropian Hive;Elbaran;Mid Rim;J-17
Estaph;Tapani;Colonies;L-13
Entrus;Trax;Mid Rim;Q-10
Estaria;Indrexu;Outer Rim Territories;S-5
Entruvia;Halla;Mid Rim;R-8
Esyram;Atravis;Outer Rim Territories;L-20
Entuur;Urce Space;Mid Rim;L-6
Etai;Druess;Mid Rim;O-15
Eol Sha;Corva;Outer Rim Territories;P-3
Ethav Major;Ethav Regions*;Wild Space;P-3
Eos;Cadavine;Outer Rim Territories;P-17
Ethrani;D'Astan (Valahari);Outer Rim Territories;N-5
Ephemera;;Inner Rim;J-14
Etorasp;Hakartha;Expansion Region;K-16
Epica;Bes Ber Bikade;Expansion Region;L-15
Etti;Corporate Sector;Outer Rim Territories;S-4
Epidimi;Rolion;Outer Rim Territories;Q-7
Euceron;Eucer;Mid Rim;Q-7
Epikonia;Ojoster;Outer Rim Territories;N-7
Eufornis Major;;Core Worlds;M-11
Epo;Ciutric;Outer Rim Territories;N-5
Eufornis Minor;Shadola;Outer Rim Territories;U-8
Epsi Nadir;Epsi Collective;Expansion Region;M-15
Eva-T;Quence;Outer Rim Territories;O-18
Epsi Zenith;Epsi Collective;Expansion Region;M-15
Evas;Belshar;Mid Rim;I-7
Epsom;Quiberon;Outer Rim Territories;S-15
Excarga;Herios;Outer Rim Territories;T-16
Equanus;Veragi;Outer Rim Territories;K-3
Exegol;;Unknown Regions;F-7
Er'Kit;Noonian;Outer Rim Territories;M-6
Exigar;Weneen;Outer Rim Territories;N-6
Er'stacia;;Wild Space;V-9
Exocron;Kathol;Outer Rim Territories;M-21
Erai;Hangshan;Expansion Region;P-11
Exodeen;;Colonies;M-12
Erdo;Kriz;Outer Rim Territories;K-19
Exodo;Meridian;Outer Rim Territories;R-7
Erebus;;Colonies;N-13
Extorin Major;Extorin;Expansion Region;J-15
Eredenn;Tion Hegemony;Outer Rim Territories;S-6
Extorin Minor;Extorin;Expansion Region;J-15
Eredin;Astal;Outer Rim Territories;P-18
Extrictarium Nebula;Ash Worlds;Outer Rim Territories;T-7
Ereesus;Kanz;Outer Rim Territories;N-4
Exu Prime;Tolonda;Outer Rim Territories;R-18
Eremond;;Deep Core;L-10
Eyar;;Inner Rim;O-10
Eres;Esuain;Mid Rim;Q-7
Eyo-Dajuritz;;Inner Rim;N-10
Erhynradd;;Inner Rim;N-13
Ezaraa;Spinward;Outer Rim Territories;M-2
Eriadu;Seswenna;Outer Rim Territories;M-18
Ezran;Onatos;Mid Rim;Q-15
Erian;Churba;Mid Rim;P-15
F'Dann;Dufilvian;Mid Rim;R-15
Eridicon;Calamari;Outer Rim Territories;T-6
F'tral;Calaron;Outer Rim Territories;T-9
Erigorm;;Core Worlds;L-9
F'tzner;Bartahn;Inner Rim;L-15
Erilnar;Centrality;Outer Rim Territories;T-8
Faarlsun;;Wild Space;T-4
Eriscot;Haserian;Mid Rim;Q-14
Fabrin;Circarpous;Expansion Region;O-12
Ermi;Sertar;Outer Rim Territories;R-5
Fadden;;Inner Rim;N-11
Eroudac;Doldur;Mid Rim;P-15
Fair Hollis;Karthakk;Outer Rim Territories;Q-17
Errimin;Koradin;Outer Rim Territories;J-18
Fait d'Fait;Venaarian;Mid Rim;O-7
Ertegas;Javin (Anoat);Outer Rim Territories;K-18
Faket;;Wild Space;G-15
Ertrax;;Wild Space;N-21
Fakir;Fakir;Colonies;K-9
Erub;;Inner Rim;N-14
Falang Minor;Thanium;Outer Rim Territories;R-6
Erysthes;Corporate Sector;Outer Rim Territories;S-4
Falasia;;Inner Rim;N-10
Esaga;Esaga;Mid Rim;R-11
Falaston;Kallea;Outer Rim Territories;K-21
Escabar;;Expansion Region;I-8
Faldos;Saijo;Outer Rim Territories;K-20
Escalan;Cademimu;Outer Rim Territories;L-6
Falko;Centrality;Outer Rim Territories;U-8
Escander;Taldot;Mid Rim;Q-9
Falleen;Doldur;Mid Rim;P-15
Escarte;Keldrath;Outer Rim Territories;T-6
Fallex;Belderone;Outer Rim Territories;R-6
Eschaton;Far Xandil;Mid Rim;O-16
Fallowan;Sujimis;Outer Rim Territories;P-19
Esfandia;;Wild Space;I-6
Fangol;Mortex;Outer Rim Territories;S-5
Eshan;;Inner Rim;N-8
Fanha;Seitia;Outer Rim Territories;K-19
Esooma;Sprizen;Outer Rim Territories;N-5
Faos Station;Belsmuth;Outer Rim Territories;P-6
Espinar;;Core Worlds;K-9
Far Dostany;M'shinni;Mid Rim;M-7
Espirion;;Inner Rim;N-12
Far Indosa;Gordian Reach;Outer Rim Territories;P-6
Essebra;Airam;Outer Rim Territories;M-20
Far Pando;;Hutt Space;S-13
Esseles;Darpa;Core Worlds;L-9
Fara's Belt;Rolion;Outer Rim Territories;Q-6
Esseveya;Maldrood;Mid Rim;R-7
Farana;Farana*;Wild Space;S-3
Essien;Halthor;Outer Rim Territories;M-6
Farbinda;;Inner Rim;N-14
Farbog;Vorzyd;Outer Rim Territories;R-6
Ferrelia;Hunnoverrs;Outer Rim Territories;R-16
Farboon;Tantra;Outer Rim Territories;M-19
Ferrhast;;Core Worlds;L-13
Farfalla;Indra-su-Mar;Expansion Region;P-12
Ferrix;Xappyh (Morlana);Outer Rim Territories;Q-3
Farfax;Marzoon;Mid Rim;I-16
Ferro;Illisurevimurasi;Outer Rim Territories;Q-4
Farfeld;Jjannex;Outer Rim Territories;L-18
Ferrok Pax;Ombakond;Expansion Region;P-12
Farhava Beta;Tantra;Outer Rim Territories;M-19
Ferros;Ojoster;Outer Rim Territories;N-7
Farj;Varada;Outer Rim Territories;H-19
Ferrous Aurora Nebula;Thesme;Outer Rim Territories;O-6
Farnica;Hapes Cluster;Inner Rim;O-9
Ferton;Al'Nasrl;Outer Rim Territories;T-13
Faro;;Colonies;N-10
Fest;Atrivis;Outer Rim Territories;L-5
Farquar;Kurost;Mid Rim;Q-11
Feswe Minor;Gordian Reach;Outer Rim Territories;P-5
Farrfin;Farrfin;Core Worlds;K-9
Feswe Prime;Gordian Reach;Outer Rim Territories;P-5
Farseen;Msst;Mid Rim;P-7
Fether;Corporate Sector;Outer Rim Territories;S-3
Farsellah;Farstey;Expansion Region;O-8
Fetilia;Maerdocian;Mid Rim;Q-12
Farstey;Farstey;Expansion Region;O-8
Fex;;Deep Core;L-12
Farstine;Ryndellian;Mid Rim;P-17
Fhost;;Wild Space;H-7
Farstone;Juvex;Mid Rim;K-18
Fial;Auril;Outer Rim Territories;S-6
Farwell Station;Eucer;Mid Rim;R-7
Fibuli;Trianii Space*;Wild Space;S-3
Fasha;;Colonies;M-9
Fikari;Thanium;Outer Rim Territories;R-6
Fashinder Prime;Primtara;Mid Rim;P-15
Fikzwaa;;Inner Rim;N-14
Faz;Farlax;Core Worlds;K-10
Filata;;Mid Rim;H-10
Feather Nebula;Irnaj;Mid Rim;K-17
Filby;;Core Worlds;L-9
Febrini;Hapes Cluster;Inner Rim;O-9
Fillithar;;Colonies;M-9
Fedalle;;Core Worlds;M-10
Filordis;Larrin;Inner Rim;N-8
Feddasyr;Elus;Inner Rim;N-12
Filve;Dufilvian;Mid Rim;R-15
Federian;Stensen;Outer Rim Territories;I-17
Fimster;;Inner Rim;L-14
Fedje;Atrivis;Outer Rim Territories;L-5
Findris;Haldeen;Colonies;M-9
Fedovoi End;Croynar;Inner Rim;M-14
Firrerre;Zuma (Sugai);Outer Rim Territories;H-16
Feena;Gordian Reach;Outer Rim Territories;Q-5
Firrhana;Ojoster;Outer Rim Territories;N-7
Feenicks;Jjannex;Outer Rim Territories;K-19
Firro;Farrfin;Core Worlds;K-9
Feenix;D'Aelgoth;Mid Rim;K-17
Fislan;Mortex;Outer Rim Territories;R-4
Fef;Glythe;Mid Rim;J-7
Fitca Prime;Urce Space;Mid Rim;L-6
Fegorosk;Obtrexta;Outer Rim Territories;K-4
Fiumar;Quanta;Core Worlds;M-12
Fehern;Trax;Mid Rim;Q-10
Five Points;Thanium;Outer Rim Territories;S-6
Fekunda;Shadola;Outer Rim Territories;U-8
Fiviune;Grumani;Outer Rim Territories;N-17
Felacat;Grohl;Outer Rim Territories;R-15
Fjor;Grohl;Outer Rim Territories;R-15
Feldrona;Glythe;Mid Rim;J-7
Flacharia;;Wild Space;H-6
Feldwes;Gordian Reach;Outer Rim Territories;Q-6
Flandor;;Inner Rim;N-13
Feleantor;Halthor;Outer Rim Territories;L-6
Flankers;Fakir;Colonies;K-9
Felin;Spinward;Outer Rim Territories;M-2
Flashpoint;Meerian;Outer Rim Territories;O-7
Fellio;Cadavine;Outer Rim Territories;P-17
Flax;Sumitra;Expansion Region;O-7
Felne;Bon'nyuw-Luq;Outer Rim Territories;N-17
Fleyars;Baroli;Expansion Region;N-14
Felucia;Thanium;Outer Rim Territories;R-6
Fligger;Kibilini;Outer Rim Territories;Q-17
Fendry;Druess;Mid Rim;O-15
Florn;Pakuuni;Outer Rim Territories;T-5
Fenel;Demetras;Outer Rim Territories;O-7
Florrum;Sertar;Outer Rim Territories;R-5
Fengrine;Senex;Mid Rim;L-18
Floubette;;Colonies;L-13
Fenion;Rolion;Outer Rim Territories;P-7
Fluwhaka;Mortex;Outer Rim Territories;R-5
Fenn;Dufilvian;Mid Rim;R-15
Flyntaria;D'Astan;Outer Rim Territories;O-6
Fennesa;;Inner Rim;K-14
Fnessal;;Inner Rim;K-14
Fentersohn;;Expansion Region;I-9
Fobaris;Parmel;Outer Rim Territories;O-18
Fenves;Boeus;Expansion Region;L-15
Fodro;Clacis;Outer Rim Territories;K-4
Feraleech;Noolian;Mid Rim;Q-13
Fodurant;Trans-Gascon;Mid Rim;P-8
Fere;Quelii;Outer Rim Territories;O-6
Foerost;;Core Worlds;L-10
Ferijia;;Core Worlds;M-10
Fokask;Klina;Outer Rim Territories;S-13
Feris;Agarix;Mid Rim;K-17
Folende;Tion Hegemony;Outer Rim Territories;S-5
Fermic;Wazta;Outer Rim Territories;J-18
Foless;;Colonies;M-13
Ferona Vivaros;;Colonies;N-10
Fondor;Tapani;Colonies;L-13
Font-Alor;Garis;Outer Rim Territories;N-18
Gabdor;;Expansion Region;H-14
Foran Tutha;Cronese Mandate;Outer Rim Territories;S-6
Gabredor;Myto;Outer Rim Territories;K-4
Forbelea;;Unknown Regions;H-8
Gacerian;Baroli;Expansion Region;N-15
Fordon;Savareen;Outer Rim Territories;Q-16
Gad;Brema;Outer Rim Territories;M-17
Forlonis Minor;Tharin;Outer Rim Territories;S-8
Gaddria;Oricho;Outer Rim Territories;M-5
Formos;Kessel;Outer Rim Territories;T-10
Gadon;Cronese Mandate;Outer Rim Territories;S-6
Fornax;Glythe;Mid Rim;J-7
Gaftikar;Kalamith;Outer Rim Territories;P-5
Fornow;Pacanth Reach;Outer Rim Territories;H-16
Gagrew Station;;Hutt Space;S-9
Forntay;;Core Worlds;L-12
Gailea;;Core Worlds;M-12
Forome;Kessel;Outer Rim Territories;T-10
Gaios;;Core Worlds;K-9
Forrn;Xan;Mid Rim;Q-15
Gairm;Venaarian;Mid Rim;O-7
Forscan;Auril;Outer Rim Territories;R-7
Gal Milnor;Seitia;Outer Rim Territories;K-19
Forsen;Cassander;Outer Rim Territories;K-5
Gala;Nuiri;Outer Rim Territories;Q-7
Forvand;Corellian;Core Worlds;M-11
Galaan;Corva;Outer Rim Territories;P-4
Fostar Haven;Serathrace;Expansion Region;P-11
Galagolos;;Colonies;J-9
Fostin;Grumani;Outer Rim Territories;N-17
Galand;Torranix;Core Worlds;K-10
Foundry;;Colonies;N-10
Galantos;Farlax;Core Worlds;K-10
Foxar;;Wild Space;N-3
Galara;Roche;Mid Rim;Q-8
Fracni;;Inner Rim;J-8
Galator;Belsmuth;Outer Rim Territories;O-6
Fradian;Roche;Mid Rim;Q-8
Galboron;Hertae;Mid Rim;Q-14
Freda;Esaga;Mid Rim;Q-11
Galdi;Brema (Reithcas);Outer Rim Territories;M-18
Freerock;;Wild Space;H-13
Galdria;Cronese Mandate;Outer Rim Territories;S-6
Frego;;Core Worlds;L-13
Galdronia;;Core Worlds;L-10
Freliq;Calaron;Outer Rim Territories;U-9
Galidraan;Thanium;Outer Rim Territories;R-6
Fremond;;Inner Rim;N-14
Galitan;Bormea;Core Worlds;L-9
Frenos;Cadavine;Outer Rim Territories;P-17
Galjaero;Tungra;Outer Rim Territories;K-18
Fresia;Torranix;Core Worlds;K-10
Gall;Cadavine;Outer Rim Territories;P-17
Frewwil;;Expansion Region;I-14
Gallapraxis;Hythrope;Expansion Region;M-16
Freya;;Wild Space;S-18
Galleefryn;Corporate Sector;Outer Rim Territories;S-3
Frezno;Cademimu;Outer Rim Territories;M-6
Gallimere;Thuris;Outer Rim Territories;P-19
Friijillis;Dail;Outer Rim Territories;P-18
Gallinore;Hapes Cluster;Inner Rim;O-9
Frisal;Atrisian CW;Core Worlds;J-12
Gallion;Grumani;Outer Rim Territories;N-17
Frithia;Glythe;Mid Rim;K-7
Gallios;Tragan Cluster;Outer Rim Territories;N-5
Froffl;Churba;Mid Rim;P-15
Galloa;D'Astan;Outer Rim Territories;O-5
Fromiria;Mortex;Outer Rim Territories;R-5
Gallshebbis Prime;Nilgaard;Outer Rim Territories;S-5
Fromish;;Core Worlds;M-11
Galltine;Thesme;Outer Rim Territories;O-6
Frommon;;Colonies;M-9
Gallus;Allied Tion;Outer Rim Territories;S-6
Frong;Ojoster;Outer Rim Territories;N-7
Galmerah;Jalor;Mid Rim;J-7
Froswythe;;Colonies;M-13
Galov;Galov;Outer Rim Territories;T-14
Froz;Corellian;Core Worlds;M-11
Galpos;Abrion;Outer Rim Territories;S-15
Frunchettan;;Wild Space;I-6
Galsol;Belderone;Outer Rim Territories;R-6
Fryiaa;Dail;Outer Rim Territories;Q-18
Galtea;Kathol;Outer Rim Territories;M-21
Fuacha;Galov;Outer Rim Territories;T-14
Galtea Binary;Kathol;Outer Rim Territories;M-21
Fusai;Zuma (Fusai);Outer Rim Territories;H-16
Galvoni;;Core Worlds;K-9
Fwatna;Subterrel;Outer Rim Territories;K-20
Galzez;Dustig;Mid Rim;M-17
Fwiis;;Inner Rim;M-13
Gam Tim'nisi;Tungra;Outer Rim Territories;K-18
Fwillsving;Calaron;Outer Rim Territories;T-10
Gama;;Core Worlds;L-12
Fyodos;Tammuz;Outer Rim Territories;U-14
Gamerong;Nijune;Outer Rim Territories;N-4
Fyrth;;Inner Rim;J-8
Gammalin;Vish;Mid Rim;N-16
Fytoun;Brak;Expansion Region;O-14
Gamor;Chaykin;Expansion Region;O-14
G'haris;Perinn;Outer Rim Territories;J-4
Gamorr;Galov;Outer Rim Territories;T-14
G'rho;;Wild Space;G-16
Gan Moradir;Xan;Mid Rim;Q-15
G'Tep'Noi;Croynar;Inner Rim;N-14
Ganath;;Hutt Space;R-12
G'wenee;Weneen;Outer Rim Territories;N-6
Gand;Shadola;Outer Rim Territories;T-8
Gaalt;Meram;Outer Rim Territories;O-4
Gandalla;Boeus;Expansion Region;M-15
Gaaten;Garis;Outer Rim Territories;N-17
Gandan;Oricho;Outer Rim Territories;M-6
Gandeal;;Core Worlds;M-12
Gedi;Arkanis;Outer Rim Territories;R-16
Geedon;Sumitra;Expansion Region;N-7
Gandeid;Trailing Grant;Expansion Region;J-15
Gefthaine;Mandalore;Outer Rim Territories;O-7
Gandle Ott;Kathol;Outer Rim Territories;M-21
Geillia;Keldrath;Outer Rim Territories;T-6
Gandolo;Lahara;Outer Rim Territories;M-5
Geister;Iskin;Mid Rim;O-16
Gandrossi;Perinn;Outer Rim Territories;J-4
Gelda;Carrion;Outer Rim Territories;J-4
Gandrun;;Colonies;J-13
Geldoll;Kossa;Expansion Region;O-11
Gangxi Station;;Wild Space;I-15
Gelemeade;Kordu;Mid Rim;L-7
Gania;Tapani;Colonies;L-13
Gelgelar;Elrood;Outer Rim Territories;M-20
Ganlihk;Dantus;Outer Rim Territories;J-6
Gellefon;Savareen;Outer Rim Territories;Q-16
Gannaria;Trilon;Outer Rim Territories;H-15
Gelviddis Cluster;;Inner Rim;N-9
Gannymeda;;Inner Rim;M-8
Gem, The;;Unknown Regions;G-14
Ganoidi;Brema;Outer Rim Territories;M-17
Genassa;M'shinni;Mid Rim;M-7
Gansett;Manda;Mid Rim;R-15
Gendius;Gendius;Mid Rim;J-17
Gansevor;Tammuz;Outer Rim Territories;T-14
Gendoraan;;Core Worlds;M-10
Ganthel;Bormea;Core Worlds;L-9
Gendrah-Narvin;;Inner Rim;N-13
Gantho;;Inner Rim;N-12
Generis;Atrivis;Outer Rim Territories;L-5
Gantonnerre;;Inner Rim;N-8
Genesia;Brak;Expansion Region;O-14
